image_path,prev_progress,true_progress
images/IMG_4415.jpg,0.00,0.00
images/IMG_4416.jpg,0.00,15.68
images/IMG_4417.jpg,15.68,23.45
images/IMG_4418.jpg,23.45,36.84
images/IMG_4419.jpg,36.84,46.23
images/IMG_4420.jpg,46.23,49.77
images/IMG_4421.jpg,49.77,56.89
images/IMG_4422.jpg,56.89,59.78
images/IMG_4423.jpg,59.78,64.88
images/IMG_4424.jpg,64.88,67.42
images/IMG_4425.jpg,67.42,68.84
images/IMG_4426.jpg,68.84,69.51
images/IMG_4427.jpg,69.51,70.57
images/IMG_4428.jpg,70.57,71.83
images/IMG_4429.jpg,71.83,74.82
images/IMG_4430.jpg,74.82,77.17
images/IMG_4431.jpg,77.17,79.35
images/IMG_4432.jpg,79.35,79.74
images/IMG_4433.jpg,79.74,80.81
images/IMG_4434.jpg,80.81,81.04
images/IMG_4435.jpg,81.04,81.38
images/IMG_4436.jpg,81.38,81.86
images/IMG_4437.jpg,81.86,82.09
images/IMG_4438.jpg,82.09,82.63
images/IMG_4439.jpg,82.63,83.43
images/IMG_4440.jpg,83.43,83.51
images/IMG_4441.jpg,83.51,84.72
images/IMG_4442.jpg,84.72,84.97
images/IMG_4443.jpg,84.97,85.18
images/IMG_4444.jpg,85.18,86.04
images/IMG_4445.jpg,86.04,86.47
images/IMG_4446.jpg,86.47,87.23
images/IMG_4447.jpg,87.23,87.78
images/IMG_4448.jpg,87.78,88.16
images/IMG_4449.jpg,88.16,88.60
images/IMG_4450.jpg,88.60,88.97
images/IMG_4451.jpg,88.97,89.07
images/IMG_4452.jpg,89.07,89.33
