epoch,train_mae,val_mae
1,19.371625,18.248863
2,9.642379,10.239780
3,8.614496,8.547081
4,7.987508,7.958529
5,8.182994,6.690965
6,9.431989,7.654683
7,5.809434,11.390028
8,5.958465,10.623514
9,5.875478,10.144086
10,5.971585,4.602279
11,3.783227,4.965389
12,5.053763,4.859107
13,5.104127,4.294576
14,4.124679,3.653944
15,3.853912,3.539175
16,3.539853,3.563696
17,3.995721,3.091886
18,3.583188,2.760332
19,2.693404,3.697987
20,3.061116,3.169160
21,3.437653,3.785125
22,4.670696,7.552283
23,4.132726,4.125287
