epoch,train_mae,val_mae
1,19.371625,18.248863
2,9.654451,10.275846
3,8.701464,8.564509
4,8.593677,8.633757
5,9.426954,6.864196
6,8.890719,6.397234
7,5.545826,9.104205
8,5.573913,6.080944
9,6.380770,5.586189
10,4.364903,5.380595
11,3.982450,5.107603
12,4.033749,5.059311
13,4.885281,4.190196
14,4.037770,4.218678
15,3.645170,4.474012
16,3.595903,4.181180
17,3.430357,4.009549
18,3.872416,3.638913
19,2.980547,3.811191
20,2.929883,3.549540
21,2.794038,3.456126
22,2.727881,2.688044
23,2.539457,3.414740
24,2.510412,3.531411
25,2.629232,3.331514
