image_path,prev_progress,true_progress
project_1/IMG_01_001.png,0.00,0.00
project_1/IMG_01_002.png,0.00,5.26
project_1/IMG_01_003.png,5.26,10.53
project_1/IMG_01_004.png,10.53,15.79
project_1/IMG_01_005.png,15.79,21.05
project_1/IMG_01_006.png,21.05,26.32
project_1/IMG_01_007.png,26.32,31.58
project_1/IMG_01_008.png,31.58,36.84
project_1/IMG_01_009.png,36.84,42.11
project_1/IMG_01_010.png,42.11,47.37
project_1/IMG_01_011.png,47.37,52.63
project_1/IMG_01_012.png,52.63,57.89
project_1/IMG_01_013.png,57.89,63.16
project_1/IMG_01_014.png,63.16,68.42
project_1/IMG_01_015.png,68.42,73.68
project_1/IMG_01_016.png,73.68,78.95
project_1/IMG_01_017.png,78.95,84.21
project_1/IMG_01_018.png,84.21,89.47
project_1/IMG_01_019.png,89.47,94.74
project_1/IMG_01_020.png,94.74,100.00
project_2/IMG_02_001.png,0.00,0.00
project_2/IMG_02_002.png,0.00,5.26
project_2/IMG_02_003.png,5.26,10.53
project_2/IMG_02_004.png,10.53,15.79
project_2/IMG_02_005.png,15.79,21.05
project_2/IMG_02_006.png,21.05,26.32
project_2/IMG_02_007.png,26.32,31.58
project_2/IMG_02_008.png,31.58,36.84
project_2/IMG_02_009.png,36.84,42.11
project_2/IMG_02_010.png,42.11,47.37
project_2/IMG_02_011.png,47.37,52.63
project_2/IMG_02_012.png,52.63,57.89
project_2/IMG_02_013.png,57.89,63.16
project_2/IMG_02_014.png,63.16,68.42
project_2/IMG_02_015.png,68.42,73.68
project_2/IMG_02_016.png,73.68,78.95
project_2/IMG_02_017.png,78.95,84.21
project_2/IMG_02_018.png,84.21,89.47
project_2/IMG_02_019.png,89.47,94.74
project_2/IMG_02_020.png,94.74,100.00
project_3/IMG_03_001.png,0.00,0.00
project_3/IMG_03_002.png,0.00,5.26
project_3/IMG_03_003.png,5.26,10.53
project_3/IMG_03_004.png,10.53,15.79
project_3/IMG_03_005.png,15.79,21.05
project_3/IMG_03_006.png,21.05,26.32
project_3/IMG_03_007.png,26.32,31.58
project_3/IMG_03_008.png,31.58,36.84
project_3/IMG_03_009.png,36.84,42.11
project_3/IMG_03_010.png,42.11,47.37
project_3/IMG_03_011.png,47.37,52.63
project_3/IMG_03_012.png,52.63,57.89
project_3/IMG_03_013.png,57.89,63.16
project_3/IMG_03_014.png,63.16,68.42
project_3/IMG_03_015.png,68.42,73.68
project_3/IMG_03_016.png,73.68,78.95
project_3/IMG_03_017.png,78.95,84.21
project_3/IMG_03_018.png,84.21,89.47
project_3/IMG_03_019.png,89.47,94.74
project_3/IMG_03_020.png,94.74,100.00
